scorer,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000
bodyparts,head,head,head,neck,neck,neck,mid,mid,mid,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
48,269.67066502571106,352.4737181663513,0.999908447265625,286.7714149951935,384.41448950767517,0.9999905824661255,289.65379452705383,395.136642575264,0.9999755620956421,300.77236622571945,404.47398883104324,0.9996296167373657
49,271.96946239471436,351.7576518058777,0.9994603991508484,285.5698561668396,380.6638433933258,0.999992847442627,290.4267486333847,394.86239874362946,0.9999850988388062,300.4148345887661,404.7887664437294,0.9997147917747498
50,275.57030591368675,352.3163137435913,0.996483325958252,284.53337532281876,381.0654888153076,0.999984622001648,289.0746154785156,392.5653614997864,0.9999135732650757,301.1351797580719,402.97465193271637,0.9995701909065247
51,278.2287871837616,344.83969593048096,0.999967098236084,284.7379879951477,385.0066239833832,0.9999836683273315,288.6863956451416,392.93940472602844,0.9999414682388306,301.4453616142273,404.3977207839489,0.9996426105499268
52,283.36766117811203,345.39658212661743,0.9999754428863525,283.6384069621563,380.51001209020615,0.999914288520813,289.3725001811981,392.8866729736328,0.9999817609786987,301.16001081466675,404.91972571611404,0.9998106360435486
53,285.3405593633652,345.7120189666748,0.9999182224273682,282.12060499191284,379.39284962415695,0.9999610185623169,288.94136905670166,392.6805763244629,0.9999738931655884,301.51866340637207,404.24506574869156,0.9997449517250061
54,289.80766439437866,350.29522132873535,0.9999880790710449,282.14775562286377,380.15358431637287,0.9999788999557495,289.382933139801,393.5550305843353,0.9999872446060181,300.91944921016693,405.3817503452301,0.9998446702957153
55,290.8419600725174,350.59033727645874,0.9999929666519165,283.997346914839,380.3986384868622,0.9999793767929077,288.94987320899963,394.0553045272827,0.999982476234436,301.18467712402344,405.74495673179626,0.9997424483299255
56,292.884236574173,352.303542137146,0.9999938011169434,283.9090681448579,380.83929508924484,0.9999830722808838,288.8575932979584,394.32669365406036,0.9999914169311523,300.7814623117447,405.678315281868,0.9997777342796326
57,293.71263551712036,352.4242730140686,0.9999927282333374,284.27186247706413,380.34751600027084,0.9999877214431763,288.85544061660767,394.2975401878357,0.9999932050704956,300.1907192617655,406.18990993499756,0.999745786190033
58,292.337169021368,354.60986852645874,0.9999988079071045,284.5667543411255,383.4821343421936,0.9999923706054688,288.94726824760437,394.54271590709686,0.9999951124191284,300.52533888816833,406.178293466568,0.9997593760490417
59,291.18666285276413,355.4328354001045,0.9999996423721313,284.24366399645805,384.1272041797638,0.9999966621398926,289.47145915031433,394.49842953681946,0.9999922513961792,300.5237416625023,405.4589341878891,0.9996191263198853
60,287.8509044647217,355.9074166715145,0.9999988079071045,285.15131533145905,385.51858592033386,0.9999978542327881,291.18977922201157,395.14314222335815,0.9999955892562866,300.70800256729126,405.2478404045105,0.999665379524231
61,285.9051698446274,356.50293505191803,0.9999974966049194,285.38394796848297,385.81025743484497,0.9999984502792358,291.0654028058052,394.9582351446152,0.999990701675415,300.69436126947403,404.6548855304718,0.9991863369941711
